InnovationID,InnovationName,InnovationDescription,Category,Invention,Patents,CoInventor,Completed ,ConnectedWoman,Bundle
1220,1917 Idea to mark roads with lanes.,Idea to mark roads with lanes.,Automotive - Safety,NULL,NULL,NULL,yes,950,undefined
1221,Inventor of Topsy Tail,"1989 launched her blockbuster hair accessory, the Topsy Tail; also invented the Bowrette (1994), a barrette that turns scarves and ribbons into hair ornaments, and the Halo Hat, a collapsible rain-and-sun hat; 2000 founded Her Room an online lingerie business; 2002 founded HisRoom an online men's underwear company; 1991 established the Topsy Tail Corporation; 1998 established the e-commerce retail start-up The Andra Group; 2012 launched the exclusive Universal Cup Sizing™ System (UCS®) – a specialized tool to help women find their correct bra size across every brand available on HerRoom;",Entrepreneur,Virtual showroom system & method; Adjustable strap; Garment adjustment feature; Virtual showroom method; Hair styling tool; Collapsible hat for maintaining a wearers hairstyle with structure to reduce wrinkling; Hat; Hat for maintaining a wearers hairstyle; Apparatus & method for producing electrical stimulation in response to an audio signal; Combination hair clasp & ornament holder; Interchangeable decorative ornament & method; Hair arranging device; Interchangeable decorative ornament; Hair pin for use in connection with a hair styling tool; Hair pin for a hair styling tool,8078498; 11950639; 11484069; D865321; 10032215; 7346543; 7149710; 412218; 5857219; D399992; 5822797; 5800503; D387486; 5657490; 5634479; D372573; 5524651; 5441061; D353017; 5355698; 5345956; 5251650; 5036870,Ceri Reynolds-Stone; Roland W. Gooch; Gina M. Jordan; Tracie L. Eakin; Andrea G. Young,yes,1305,undefined
1222,Creator of Poo-Pourri,"created Poo Pourri (2007) & natural cleaning products (Supernatural products); Scentsible L.L.C., is the parent company of Poo-Pourri and Supernatural; creator of AliveOS;",Entrepreneur,None found,None,None,yes,1406,undefined
1223,Inventor of CryoRain,discovered how to use liquid nitrogen to stop fires; CEO & inventor of CryoRain Inc (2009); owner Medical Urgency Preparation Service Ip,Inventor; Educator,Liquid nitrogen enabler; Sheet batteries as substrate for electronic circuit; Application of Sheet batteries as support base for electronic circuits; Plural unit monitor; Optical thermodetector; Electronic temperature probe; Speech presentation system & method; Piezo action applied; Speech simulation system & method; Super-CCD with default distribution & its fabrication,7631506; 5147985; 5124508; 5111103; 4502487; 4633885; 4520501; 7443078; CA1200011; 5231281,Henry C. Kondracki,yes,1407,undefined
1224,Invented clothes wringer,Invented clothes wringer in 1888 but never patented it & sold the rights to a white man for $18,Appliance inventor,Clothes wringer,None,None,yes,1240,undefined
1225,Co-inventor of Makin Bacon,"1993 with her father Jonathan invented the Makin’ Bacon® dish a square, inch-deep skillet made of microwave-safe plastic, with three T-shaped supports rising up from its center which allows the bacon to cook while draped over the crossbars of the central supports, and the fat drips down into the dish; 1994 with Jonathan created A.deF.Ltd to sell her pan & his patented truck wheel cover",Food,Microwave cooking vessel with removable food supports & storage clip; Microwave cooking vessel with removable food supports,5837979; 5552585,Jonathan E. Fleck,yes,1306,undefined
1226,Discovered Horsehead Nebula,"discovered Horsehead Nebula in 1888 & helped develop a common designation system for the stars; in charge of the Draper Catalogue project; devised a system for classifying stars according to the relative amount of hydrogen observed in their spectra, known as the Pickering-Fleming system; also made it possible to go back and compare recorded plates by organizing thousands of photographs by telescope along with other identifying factors; credited with the discovery of the first white dwarf (40 Eridani B) & published her discovery in 1910; established the first photographic standards of magnitude used to measure the variable brightness of stars: 1891 discovered spectral variations corresponding to changes in the light from the star Beta Lyrae, indicating it was a double star;",Astronomy,None found,None,None,yes,537,undefined
1227,Invented RED,"invented Random Early Detection (RED) for congestion control, an active queue management scheme; with Van Jacobson founded the field of Active Queue Management (AQM); devised the now-common method of adding delay jitter to message timers to avoid synchronization; 1997 with Vern Paxson identified the lack of knowledge of network topology as the major obstacle in understanding how the Internet works; co-author on the standard for TCP Selective acknowledgement (SACK), Explicit Congestion Notification (ECN), the Datagram Congestion Control Protocol (DCCP) and TCP Friendly Rate Control (TFRC);",Computer Science,None found,None found,None,yes,688,undefined
1228,Pioneer in field of Discontinuous Automatic Control,"a pioneer in the development of the theory of discontinuous automatic control (also known as ""on-off"" and ""bang-bang"" systems), which has found wide application in hysteresis control systems; such applications include guidance systems, electronics, fire-control systems, and temperature regulation; published what is now known as the ""Lotz method"" in 1931 for calculating the lift on a three-dimensional wing, and it became a standard technique used internationally; while at Stanford conducted research in numerical methods to solve boundary layer problems in fluid dynamics, making pioneering contributions with finite difference methods and the use of computers; published the first textbook on discontinuous automatic control in 1953; 1968, the year of her retirement, she published her second book, Discontinuous and Optimal Control; made significant advancements in methods for the prediction of aerodynamic pressures on bodies, wings and turbine blades, some of which were adopted as standard procedures throughout the world;",Aerospace Engineering,None found,None,None,yes,1376,undefined
1229,Patented the 1st electrical water heater,1917 was granted a patent for an electric water heater,Inventor,Electrical water heater,1251210,None,yes,1242,undefined
